a,b,c,d,e,f,g,h
Nov-15,Current,36 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65694871,AR
Jul-15,Current,60 months,D,D3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53594193,IN
May-15,Current,36 months,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50635373,MN
Dec-15,Current,60 months,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67755462,MT
Aug-15,Current,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58973735,CT
Nov-15,In Grace Period,60 months,C,C3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63246943,TX
Apr-15,Current,36 months,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44986001,NC
Jan-15,Fully Paid,36 months,D,D2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39691506,NC
Mar-15,Current,60 months,B,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41690121,IL
Jun-15,Fully Paid,36 months,A,A4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51879416,AZ
Jul-15,Current,60 months,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54077759,CT
Nov-15,Current,,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64761885,HI
Nov-15,Current,36 months,D,D2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63732320,NY
Sep-15,Current,36 months,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60576596,PA
Apr-15,Charged Off,36 months,E,E3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=45295307,NY
Feb-15,Current,60 months,E,E3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40943417,
Jun-15,Current,36 months,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51167851,CA
Jul-15,Current,36 months,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52979158,NJ
Mar-15,Current,36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42393705,VA
Feb-15,Current,36 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39770600,TX
Oct-15,Current,36 months,B,B2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62316419,FL
Nov-15,Current,36 months,B,B1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64822185,GA
Oct-15,Fully Paid,36 months,C,C2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61540821,CA
Jan-15,Current,36 months,B,B4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39469124,NV
Sep-15,Current,36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60597443,TX
Jan-15,Current,36 months,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38568445,
Aug-15,Current,36 months,B,B5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58320307,CA
Jul-15,Fully Paid,36 months,C,C5,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55149288,MO
Nov-15,Current,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65251724,TX
Oct-15,,60 months,E,E4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61479825,MI
Nov-15,,60 months,E,E1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65334459,NY
Oct-15,Current,60 months,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63084472,IL
Aug-15,Current,36 months,B,B1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56330293,AZ
Feb-15,Current,,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41439819,VA
Mar-15,Fully Paid,36 months,C,C4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42293317,AZ
Jul-15,Current,60 months,E,E4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54028198,NJ
Jan-15,Current,36 months,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38455740,WI
Nov-15,Current,60 months,E,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64261271,HI
Nov-15,Current,36 months,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64200532,PA
Jul-15,Current,60 months,D,D5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53874794,
May-15,Current,36 months,C,C5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50536185,MA
Aug-15,Current,36 months,B,B1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58160345,MI
Oct-15,Current,60 months,E,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60883372,TX
Aug-15,Current,36 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57682670,CA
May-15,Current,36 months,C,C4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48765852,OH
Mar-15,Current,,E,E1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43539125,CO
Jul-15,Current,36 months,B,B5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55209795,FL
Dec-15,Current,36 months,B,B1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67306979,GA
Oct-15,Current,36 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61842857,WI
Apr-15,Current,36 months,A,A5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=45484159,CA
Nov-15,Current,36 months,A,A5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65826956,NY
Apr-15,Current,36 months,B,B5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46105337,MO
Nov-15,Current,36 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65462209,ME
Mar-15,Current,36 months,D,D5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43559790,NJ
Jan-15,Current,60 months,B,B3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38559841,GA
Feb-15,Current,36 months,B,B4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40592150,PA
Dec-15,Current,36 months,A,A3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67636110,MA
Jun-15,Current,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52979636,NC
Mar-15,Fully Paid,36 months,C,C3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43351709,TX
Jan-15,Current,36 months,A,A4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39420263,CA
Aug-15,Current,60 months,E,E2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56904896,WV
Dec-15,,36 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66096793,VA
Apr-15,Current,36 months,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46556241,
Jul-15,Current,36 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55677653,CA
Dec-15,Current,,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65676790,TX
Jun-15,,60 months,C,C5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50656317,MS
Apr-15,Late (31-120 days),60 months,,D1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=45704130,TX
Apr-15,Current,60 months,D,D2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44673541,LA
Jun-15,Current,36 months,C,C5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51446506,
Dec-15,Current,36 months,C,C2,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66574474,TX
Dec-15,,36 months,F,F4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66503378,PA
Jun-15,Current,60 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51536935,NJ
Oct-15,Current,36 months,A,A4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63155661,DE
Aug-15,Current,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58351171,WA
Nov-15,Current,36 months,B,B5,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63416627,TN
Sep-15,Current,36 months,B,B5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60547003,VA
Aug-15,Current,36 months,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57215335,
Aug-15,Current,60 months,C,C5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57578507,
,Current,60 months,C,C5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61418888,KY
Nov-15,Current,60 months,C,C2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65773372,MA
Jul-15,,36 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54543191,NY
Aug-15,Current,60 months,C,,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56290196,NY
,Current,36 months,C,C3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63405934,TX
Jun-15,Current,36 months,C,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51857604,NJ
Nov-15,Current,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61932596,FL
Aug-15,Current,36 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58562289,CA
Sep-15,,36 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60981321,CA
Apr-15,Current,36 months,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46792206,VA
Oct-15,Current,60 months,,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62824994,NJ
,Current,36 months,D,D5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44845581,PA
Jun-15,Current,36 months,B,B5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51936680,WI
Dec-15,Current,60 months,,B3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66604024,NJ
Feb-15,Current,36 months,A,A3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41163171,CT
Jun-15,Current,36 months,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51946454,CA
Nov-15,Current,60 months,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65442477,NV
,Fully Paid,36 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38141958,CA
Sep-15,Current,36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60395926,VA
Mar-15,Fully Paid,36 months,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43976171,NC
Aug-15,,36 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55900497,CA
Sep-15,Current,60 months,,F2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60656470,TX
Aug-15,Current,36 months,B,B3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56502483,NY
Oct-15,Current,36 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63527754,FL
Nov-15,Current,,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65292749,PA
Dec-15,Current,,B,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67257068,WI
Nov-15,Current,36 months,A,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64361307,CA
Sep-15,Current,60 months,A,A5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60205820,RI
Aug-15,Current,60 months,B,B2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57145721,NJ
Dec-15,Current,36 months,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66625356,WA
Jan-15,Current,60 months,D,D1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39640972,CA
Apr-15,Current,36 months,A,A1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46175132,MI
Apr-15,Current,36 months,B,B5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46722932,CA
Apr-15,Current,36 months,A,A5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=45296086,MS
Dec-15,Current,36 months,F,F1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65875859,FL
Dec-15,Current,60 months,C,C4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67457410,DC
,Issued,60 months,D,D5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68444548,FL
Dec-15,Current,36 months,B,B4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67278165,CA
Apr-15,Current,36 months,,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46408128,IL
Apr-15,Current,36 months,B,B4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=45874210,CA
Jun-15,Current,36 months,A,A1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52038866,TX
Apr-15,Current,60 months,D,D3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46794082,NM
Dec-15,Current,,C,C2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66530972,WA
Jul-15,Current,60 months,E,E2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54128392,CA
Jul-15,Current,,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55261398,MD
Feb-15,Current,36 months,A,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40385571,VA
Jul-15,Current,36 months,A,A3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55970300,CO
Sep-15,Current,36 months,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59280802,FL
Mar-15,Current,60 months,D,D4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43779455,NV
Nov-15,Current,36 months,F,F3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65744200,TX
Aug-15,Current,60 months,E,E1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57783082,NY
Nov-15,Current,36 months,C,C5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65571301,PA
Jan-15,,36 months,D,D1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39450072,MI
May-15,Current,36 months,,D3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48161223,WA
Nov-15,Current,60 months,E,E1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64400395,IN
Jan-15,Current,60 months,E,E2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38640466,
May-15,Current,36 months,C,C4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48000809,NV
Jun-15,Current,36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51880622,MS
Jan-15,Current,36 months,D,D5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40247792,TN
Jan-15,Current,36 months,A,A1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38494616,CA
Nov-15,Current,60 months,E,E4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65787014,VA
Jun-15,Current,60 months,C,C5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51876197,VA
Jun-15,Current,,D,D4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51686397,IL
May-15,Current,36 months,B,B5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49267212,OH
Nov-15,Current,,E,E3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65098550,NY
Feb-15,Current,36 months,A,A3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40421561,CA
,Current,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67475434,VA
Jun-15,Current,60 months,E,E4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48665848,CA
Apr-15,Fully Paid,,F,F4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44673337,CA
Sep-15,Current,60 months,B,B5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59392279,TX
Aug-15,Current,36 months,D,D5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55111820,LA
Feb-15,Fully Paid,60 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41049957,MI
Sep-15,Current,36 months,A,A4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60215821,TX
Mar-15,Current,60 months,B,B3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42403885,NY
Mar-15,Current,60 months,D,D2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43195812,FL
May-15,Current,60 months,E,E2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49983186,TX
Dec-15,Current,36 months,B,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67387401,LA
Dec-15,Issued,60 months,C,C5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68564754,FL
Aug-15,,36 months,C,C2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57812330,CA
Jul-15,Current,36 months,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55361761,SC
Aug-15,Current,60 months,E,E2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57772616,SC
Dec-15,Current,36 months,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67298364,OH
Jul-15,Current,36 months,,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55168286,NJ
Feb-15,Current,36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41159690,TX
,Current,60 months,B,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60365344,NJ
Jun-15,Current,60 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51828718,MA
Feb-15,Current,60 months,D,D2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40501895,FL
Sep-15,,36 months,B,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59492296,NC
Jun-15,Current,36 months,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51838361,IL
Aug-15,Current,36 months,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57146685,NY
Feb-15,Current,,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40979570,NY
Dec-15,Current,36 months,,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66482988,NY
Dec-15,Issued,36 months,C,C5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67705908,MD
Jun-15,Current,36 months,B,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52007651,CA
Aug-15,Current,36 months,B,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57722116,KS
Oct-15,Current,60 months,E,E5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60913809,IL
Aug-15,Current,36 months,A,A4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57225800,MD
Feb-15,Fully Paid,36 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39997469,GA
Dec-15,Current,36 months,B,B2,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65895915,CA
Aug-15,Current,60 months,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59299518,CO
Apr-15,Current,36 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44885256,VA
Jul-15,Current,60 months,D,D4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57304528,OH
Oct-15,Current,36 months,B,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62459446,CA
Jul-15,Current,60 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53252627,NY
May-15,Current,36 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49713681,CA
Apr-15,Current,60 months,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=45504881,OR
Feb-15,Current,36 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41069432,PA
Dec-15,Current,36 months,B,B5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67715147,IL
Aug-15,Current,60 months,B,B4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55933680,NY
,Current,60 months,B,B5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61544174,TX
Apr-15,Current,36 months,E,E4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46487053,WV
Apr-15,Current,36 months,A,A2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43325356,SC
Aug-15,Current,60 months,D,D1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56121344,WV
Oct-15,Current,36 months,C,C1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61492454,CA
Aug-15,Current,36 months,D,D5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58532952,
Jan-15,Current,36 months,A,A5,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39522398,NY
Sep-15,Current,60 months,F,F4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60527345,SC
Feb-15,Fully Paid,36 months,C,C2,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41072317,IL
,Fully Paid,36 months,C,C2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48724609,NC
Dec-15,Issued,,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66534697,CA
Mar-15,Current,60 months,D,D5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42994369,WA
Apr-15,Current,36 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43351043,NC
Jan-15,Current,60 months,,D5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38455422,TX
Jul-15,Current,36 months,C,C4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52759072,CA
Jan-15,Charged Off,36 months,C,C4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39730512,AZ
Aug-15,Current,36 months,A,A5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59139771,MN
,Current,36 months,D,D2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39409970,MO
May-15,Current,36 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48605954,CA
Nov-15,Current,36 months,D,D3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63908173,GA
Oct-15,Fully Paid,60 months,C,C4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61982885,IL
Mar-15,Current,60 months,B,B5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41358527,CA
Jul-15,Late (31-120 days),60 months,,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53614580,MD
Dec-15,Current,36 months,C,C5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65617181,WA
Mar-15,Fully Paid,,E,E2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43470793,MT
Apr-15,Current,60 months,F,F1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44419159,MA
Feb-15,Current,36 months,C,C4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41266882,FL
Sep-15,Current,36 months,A,A1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59033248,CA
Dec-15,,36 months,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66463042,IL
Nov-15,Current,36 months,,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65128884,GA
Nov-15,Current,60 months,B,B1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65796496,NC
Aug-15,Current,60 months,C,C3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57783576,NV
Aug-15,Current,36 months,A,A4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56028803,CA
Jun-15,Current,60 months,A,A4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51966159,NC
Jun-15,Current,36 months,A,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49955994,TX
,Current,36 months,A,A3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56040071,GA
Nov-15,Current,36 months,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65722972,IN
Mar-15,Late (31-120 days),36 months,C,,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43105574,FL
Jan-15,Current,60 months,E,E3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=37821356,DE
Oct-15,Current,60 months,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61423587,NJ
Mar-15,Current,60 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43389556,NY
Jul-15,Current,60 months,E,E1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54889202,SC
Mar-15,Current,36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42363117,IN
Feb-15,Fully Paid,36 months,A,,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40392106,MA
Nov-15,Current,60 months,D,D5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65512260,MA
Nov-15,Current,36 months,C,C5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63967768,IL
Sep-15,Current,36 months,E,E1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59151331,NJ
,Current,60 months,C,C4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60406958,TX
Mar-15,Current,60 months,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43315276,KY
Feb-15,,36 months,D,D1,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40737587,NY
Nov-15,Current,60 months,B,B4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65332738,NY
Aug-15,Current,36 months,C,C3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56935099,PA
Sep-15,Current,36 months,C,C1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59433155,
Apr-15,Current,36 months,A,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46518147,CA
Sep-15,Current,36 months,B,B1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57284553,GA
